나이,계약유형,그룹수업_참여,마지막_방문_경과일,이번달_주당방문횟수,총_이용개월수,최근한달_일평균_운동시간,PT_가입여부,기구_만족도,최근한달_부상경험,주_이용_시간대_혼잡도,불편_회원_경험,가격_만족도,직원_만족도,서비스_만족도,상대_방문공백,설문_응답여부,이탈,서비스불만_환경불편,서비스불만_비매너회원,서비스불만_프로그램불만족,기구불만_기구부족,기구불만_낙후된기구,기구불만_청결불량,직원불만_불친절,직원불만_전문성부족,직원불만_과도한영업,가격불만_할인부족,가격불만_가격비쌈
19,1,0,3,1.872,3,69,0,4,0,여유,0,3,4,4,0.84,1,0,0,0,0,0,0,0,0,0,0,0,0
26,3,0,2,3.081,8,57,1,,,혼잡,,,,,1.08,0,0,0,0,0,0,0,0,1,0,0,0,0
47,1,1,4,1.931,6,38,0,3,0,혼잡,0,3,4,3,1.21,1,0,0,0,1,0,0,0,0,0,0,0,0
63,6,0,2,2.336,8,48,1,3,0,보통,0,1,4,4,0.67,1,0,1,0,0,0,0,0,0,0,0,1,1
62,6,1,1,2.807,12,100,0,,,혼잡,,,,,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,1,3,1.638,11,69,0,4,0,혼잡,1,4,4,2,0.7,1,0,1,1,0,0,0,0,0,0,0,0,0
57,12,0,1,2.681,13,67,0,4,0,보통,0,5,4,4,0.49,1,0,0,0,0,0,0,0,0,0,0,1,0
53,6,0,1,3.959,12,79,0,,,여유,,,,,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0
39,12,0,8,1.466,4,21,0,,,여유,,,,,1.7,0,1,0,0,0,0,0,0,0,0,0,0,1
37,3,0,13,1.002,2,34,0,,,여유,,,,,1.86,0,0,0,0,0,0,0,0,0,0,0,1,0
30,6,0,4,1.533,7,75,0,4,0,혼잡,0,2,5,4,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0
46,12,0,34,0.323,32,27,0,,,여유,,,,,1.57,0,1,0,0,0,0,1,0,0,1,0,0,0
48,3,0,1,2.401,5,95,0,3,0,매우혼잡,0,2,2,3,0.4,1,0,1,1,0,0,0,1,0,0,1,0,1
61,6,0,4,1.601,6,34,0,,,여유,,,,,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,1,2,2.69,4,62,0,3,0,여유,0,4,3,5,0.65,1,0,0,0,0,1,0,0,0,0,0,0,0
18,12,0,2,2.431,42,85,0,,,혼잡,,,,,0.68,0,0,0,0,0,0,1,0,0,0,0,0,0
68,6,0,10,0.787,11,32,0,2,0,보통,0,3,3,4,1.16,1,1,0,0,0,0,0,1,0,0,1,0,0
58,6,0,1,3.934,11,51,0,,,보통,,,,,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,0,1,3.38,5,87,0,4,0,보통,0,4,4,5,0.69,1,1,0,0,0,0,0,0,0,0,0,0,0
28,12,1,1,2.467,15,94,0,4,0,여유,0,3,4,4,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
61,12,0,0,4.09,12,68,1,5,0,보통,0,4,5,4,0.29,1,0,0,0,0,0,0,0,0,0,0,0,0
68,6,0,60,0.186,10,16,0,2,0,보통,0,2,3,4,9.86,1,1,0,0,0,0,0,0,0,0,0,0,0
36,12,0,3,2.142,15,46,0,,,보통,,,,,0.78,0,0,1,0,0,1,0,1,0,0,0,0,0
22,6,0,1,3.672,6,88,1,4,0,보통,0,4,5,5,0.53,1,0,0,0,0,0,0,0,0,0,0,0,0
23,3,0,4,1.865,4,87,0,3,0,보통,1,3,4,2,1.09,1,0,0,0,0,0,0,0,0,0,0,0,0
28,12,0,7,1.517,12,74,0,4,0,보통,1,3,4,2,1.41,1,1,0,1,0,0,0,0,0,0,0,1,0
44,12,1,4,2.056,12,35,1,4,0,여유,0,4,5,5,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0
36,12,0,3,2.229,30,66,1,5,0,여유,0,3,5,4,0.84,1,0,0,0,0,0,0,0,0,0,0,1,0
42,3,0,2,2.681,3,113,0,4,0,여유,0,4,5,5,0.58,1,0,0,0,0,0,0,0,0,0,0,0,0
31,12,0,3,2.247,36,73,0,,,여유,,,,,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12,0,2,2.184,19,48,1,,,보통,,,,,0.55,0,0,0,0,0,0,1,0,0,0,0,0,1
39,12,0,17,0.362,8,46,0,3,0,혼잡,1,3,4,1,0.89,1,0,1,1,0,0,0,0,0,0,0,1,0
49,6,1,0,3.951,16,63,0,,,혼잡,,,,,0.24,0,0,0,0,0,1,0,0,0,0,0,0,0
42,12,0,6,1.812,18,36,0,,,보통,,,,,1.46,0,0,0,0,0,0,0,0,0,0,0,1,0
44,6,0,1,3.718,20,112,0,4,0,보통,0,5,4,5,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0
53,3,0,1,3.537,13,94,1,,,보통,,,,,0.32,0,0,0,0,0,0,1,0,0,0,0,0,0
53,12,0,4,1.697,45,68,0,4,0,여유,0,3,4,5,1.06,1,0,0,0,0,1,0,0,0,0,0,0,0
22,12,0,4,2.071,17,35,0,,,혼잡,,,,,1.11,0,0,0,0,0,0,0,0,0,0,0,1,1
61,3,1,3,2.492,12,36,0,,,여유,,,,,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,0,9,1.036,12,42,0,3,0,혼잡,0,3,3,3,1.39,1,1,0,0,0,0,0,0,0,0,0,0,0
